post_id,influencer_id,platform,posted_at,caption,views,likes,comments,shares,audio_type,campaign_tag
1,1,youtube,2025-11-20T15:03:45.784718,Day 17 of posting until this goes viral. Tutorials and how to.  Let me know what topic to cover next.,12783,1168,249,200,trending,beauty_summer_2025
2,1,youtube,2025-11-11T21:18:18.784718,Behind the scenes of the next project. Tutorials and how to.  Let me know what topic to cover next.,11667,678,101,83,original,gaming_console_drop
3,1,youtube,2025-11-22T07:41:15.784718,Tag a friend who needs to see this. Tutorials and how to.  Let me know what topic to cover next.,20955,2517,379,684,catalogue,gaming_console_drop
4,1,youtube,2025-08-25T18:24:37.784718,POV you are listening to this on repeat. Tutorials and how to.  Let me know what topic to cover next.,23340,1906,205,138,trending,back_to_school_2025
5,1,youtube,2025-09-05T14:27:59.784718,Cannot believe this just happened. Tutorials and how to.  Let me know what topic to cover next.,25873,1394,223,445,catalogue,fitness_january_push
6,1,youtube,2025-07-27T09:55:49.784718,Behind the scenes of the next project. Tutorials and how to.  Let me know what topic to cover next.,33728,3019,428,708,trending,reggaeton_launch_q2
7,1,youtube,2025-11-13T13:31:33.784718,Trying something different today. Tutorials and how to.  Let me know what topic to cover next.,25233,1716,221,350,catalogue,gaming_console_drop
8,1,youtube,2025-08-13T14:23:21.784718,This audio is stuck in my head. Tutorials and how to.  Let me know what topic to cover next.,20233,1804,370,516,original,back_to_school_2025
9,1,youtube,2025-10-30T22:21:10.784718,This audio is stuck in my head. Tutorials and how to.  Let me know what topic to cover next.,9704,617,98,116,original,back_to_school_2025
10,1,youtube,2025-09-27T12:15:08.784718,This audio is stuck in my head. Tutorials and how to.  Let me know what topic to cover next.,36235,2503,389,762,catalogue,gaming_console_drop
11,1,youtube,2025-11-01T19:15:38.784718,Behind the scenes of the next project. Tutorials and how to.  Let me know what topic to cover next.,24355,2042,389,366,catalogue,reggaeton_launch_q2
12,1,youtube,2025-09-23T13:42:12.784718,Tag a friend who needs to see this. Tutorials and how to.  Let me know what topic to cover next.,32227,3186,208,572,catalogue,back_to_school_2025
13,1,youtube,2025-08-04T19:09:11.784718,Tag a friend who needs to see this. Tutorials and how to.  Let me know what topic to cover next.,25879,1768,251,489,original,
14,1,youtube,2025-11-14T00:11:30.784718,Behind the scenes of the next project. Tutorials and how to.  Let me know what topic to cover next.,36736,1840,247,243,catalogue,beauty_summer_2025
15,1,youtube,2025-11-21T13:30:54.784718,Day 22 of posting until this goes viral. Tutorials and how to.  Let me know what topic to cover next.,35912,3895,266,368,original,back_to_school_2025
16,1,youtube,2025-10-26T17:11:28.784718,Cannot believe this just happened. Tutorials and how to.  Let me know what topic to cover next.,24151,1510,327,274,trending,
17,1,youtube,2025-10-27T20:15:49.784718,Tag a friend who needs to see this. Tutorials and how to.  Let me know what topic to cover next.,14230,1000,94,318,trending,gaming_console_drop
18,1,youtube,2025-10-28T18:44:25.784718,This audio is stuck in my head. Tutorials and how to.  Let me know what topic to cover next.,17945,1550,228,184,original,back_to_school_2025
19,1,youtube,2025-10-10T10:28:31.784718,Day 30 of posting until this goes viral. Tutorials and how to.  Let me know what topic to cover next.,32871,3801,357,485,catalogue,reggaeton_launch_q2
20,1,youtube,2025-10-19T17:26:34.784718,Cannot believe this just happened. Tutorials and how to.  Let me know what topic to cover next.,28036,2309,461,362,catalogue,
21,1,youtube,2025-08-16T00:51:12.784718,"New drop just landed, what do you think. Tutorials and how to.  Let me know what topic to cover next.",26836,2051,356,476,catalogue,beauty_summer_2025
22,1,youtube,2025-10-14T01:56:41.784718,POV you are listening to this on repeat. Tutorials and how to.  Let me know what topic to cover next.,18340,1566,124,473,original,fitness_january_push
23,1,youtube,2025-09-02T13:21:10.784718,Tag a friend who needs to see this. Tutorials and how to.  Let me know what topic to cover next.,31011,2003,163,595,catalogue,back_to_school_2025
24,1,youtube,2025-08-02T01:38:35.784718,You asked for it so here it is. Tutorials and how to.  Let me know what topic to cover next.,35695,2683,209,725,trending,fitness_january_push
