influencer_id,handle,platform,follower_count,avg_views,engagement_rate,country,language,category,content_style,cost_per_post,age_bracket
1,@education0001,youtube,46733,21266,0.108,US,en,education,tutorials and how to,675.52,18-24
2,@music0002,tiktok,45280,14849,0.0234,ES,es,music,high energy dance,162.82,18-24
3,@beauty0003,youtube,68323,36082,0.1186,FR,fr,beauty,reaction content,353.23,35-44
4,@beauty0004,instagram,20259,5246,0.0667,BR,pt,beauty,storytelling vlogs,80.36,25-34
5,@education0005,instagram,23685,13198,0.0302,DE,de,education,reaction content,182.07,35-44
6,@comedy0006,youtube,16168,6688,0.1205,ES,es,comedy,storytelling vlogs,231.11,35-44
7,@fitness0007,tiktok,807334,202364,0.0681,DE,de,fitness,tutorials and how to,2283.72,25-34
8,@comedy0008,instagram,400331,73919,0.0801,FR,fr,comedy,product reviews,968.22,18-24
9,@education0009,youtube,48656,3291,0.061,FR,fr,education,tutorials and how to,42.89,18-24
10,@beauty0010,tiktok,153778,85039,0.0797,ES,es,beauty,product reviews,1100.95,25-34
11,@education0011,tiktok,4937062,1331378,0.0485,FR,fr,education,skits and comedy,46499.88,25-34
12,@fashion0012,youtube,28742,3966,0.1085,GB,en,fashion,high energy dance,90.79,18-24
13,@comedy0013,instagram,3822426,215258,0.1137,GB,en,comedy,tutorials and how to,5478.6,35-44
14,@fashion0014,youtube,21610,6247,0.079,DE,de,fashion,product reviews,209.99,25-34
15,@comedy0015,youtube,78584,31545,0.0992,BR,pt,comedy,high energy dance,302.36,35-44
16,@comedy0016,tiktok,11440,6417,0.1342,ES,es,comedy,tutorials and how to,192.19,25-34
17,@beauty0017,instagram,18070,5733,0.029,MX,es,beauty,skits and comedy,159.48,18-24
18,@comedy0018,tiktok,382843,146868,0.1454,MX,es,comedy,storytelling vlogs,4827.17,25-34
19,@education0019,youtube,9670480,3940072,0.077,FR,fr,education,tutorials and how to,80878.94,25-34
20,@music0020,tiktok,582004,102760,0.0486,MX,es,music,tutorials and how to,732.66,18-24
21,@music0021,youtube,16314,2951,0.107,US,en,music,high energy dance,33.72,25-34
22,@beauty0022,tiktok,2645397,409310,0.0326,FR,fr,beauty,lifestyle b roll,7339.56,25-34
23,@fashion0023,instagram,1047354,619290,0.0328,GB,en,fashion,product reviews,10576.63,18-24
24,@beauty0024,instagram,406309,51641,0.0439,DE,de,beauty,storytelling vlogs,974.92,18-24
25,@music0025,tiktok,3221682,1878072,0.1404,GB,en,music,product reviews,57207.71,35-44
26,@fitness0026,tiktok,5097163,716408,0.0203,GB,en,fitness,storytelling vlogs,11973.08,25-34
